sample;S1_exposure;S2_exposure;S3_exposure;S1_pvalue;S2_pvalue;S3_pvalue
SRR12351824;1.09677823625677;0.429955910558899;4.87564409278743;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12351833;0.770700819502717;2.02542820086772;2.80346617740544;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661005;11.3002217586718;1.52818586941821;15.3421737270305;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12661007;8.82276599616203;8.35447428494593;6.56186188920594;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661012;0.14830339757329;4.94885692618453;2.60154954959768;1;1.9778442703231e-18;1.9778442703231e-18
SRR12661023;17.2225782721444;1.9180827875505;0;7.77373981688446e-24;NA;NA
SRR12661024;7.96742152101576;7.1750523843617;11.4552954486281;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661026;2.47788796656224;4.90871267278147;5.66085014177896;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661031;9.00952656157795;1.57753211670272;16.8019416862618;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12661054;5.47293658934003;1.63372880890735;0;4.85676341499832e-23;1;NA
SRR12661066;1.31232425221901;4.92154167708617;0.877163621405607;1.97795580444976e-18;1.97795580444976e-18;0.818003361512662
SRR12661073;7.80000139863433;1.77129170238637;2.99132365530835;1.9778442703231e-18;NA;2.16549357175258e-18
SRR12661079;6.69397992122327;1.56891084678064;16.7365571346674;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12661080;23.5991138255212;5.03469313423826;16.3516587488176;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12661082;6.66505125977942;1.76497383600467;6.03956150668439;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12661091;14.7172758253576;7.53556886295355;13.5278902415542;1.97795580444976e-18;3.71508112348082e-18;1.97795580444976e-18
SRR12661093;5.92902389937611;0.187249188893216;7.13678609031725;1.97795580444976e-18;1;1.97795580444976e-18
SRR12661096;22.7288478440563;3.33584592167352;3.71764950503978;7.77373981688446e-24;NA;NA
SRR12661111;15.2034040864658;0.554503683848082;9.52737857044617;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12661117;5.7931311377791;0.555933282781697;6.09498673494404;1.97795580444976e-18;1;1.97795580444976e-18
SRR12661121;6.60525899264395;7.28390485105392;22.9220246832867;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661123;6.67922788302635;1.53173725923531;0.480012220488326;7.77373981688446e-24;NA;NA
SRR12661124;29.155350832037;23.0444638001684;3.78667055624771;1.97795580444976e-18;1.97795580444976e-18;NA
SRR12661125;3.99029996300306;3.26550847461698;5.68970234921897;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661129;0.62130410085629;8.07620518732542;3.67745921106507;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12661130;9.29631338576463;0;9.77052673967171;1.97773274215817e-18;NA;1.97773274215817e-18
SRR12661132;3.41446268901459;11.9765143836427;11.2398940419549;0.999999921736239;1.97795580444976e-18;1.97795580444976e-18
SRR12661141;2.98216824681523;8.15701132710031;4.90387310491581;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661146;1.27329618571125;5.09681073664893;4.9115603967759;9.28060039521101e-14;1.97795580444976e-18;1.97795580444976e-18
SRR12661153;4.48123572987826;7.02249176681655;2.91803979550898;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661154;4.65958227981112;0;2.26992050572345;1.95069733003888e-18;NA;2.01057953282318e-18
SRR12661157;3.18310879521237;1.49373350927592;8.7647252377595;1.97795580444976e-18;1;1.97795580444976e-18
SRR12661169;2.01754508086915;1.50656251358061;3.98103871738615;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661178;16.6293582771587;9.97719873336251;9.10540098041114;1.97795580444976e-18;2.67307990375789e-18;2.88035051841344e-13
SRR12661183;0.0952374024312708;5.17289150907244;3.64203028438112;1;1.97795580444976e-18;1.97795580444976e-18
SRR12661185;1.19250272769365;0;12.0816836366983;NA;NA;7.77373981688446e-24
SRR12661187;24.4004550683897;11.917474348476;12.8634489795726;1.97795580444976e-18;0.999999999877634;2.03865265468106e-18
SRR12661192;3.51578045406304;0.0965948921854839;9.56944021102221;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12661193;15.3643585821604;4.53475685759631;13.1643831131507;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12661194;2.83386484924194;3.20815440091578;2.30232355531814;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661198;5.50607842779851;1.62923558633958;0.808090422207876;6.58794796952474e-22;0.999999989261688;NA
SRR12661200;4.6539875461413;0;3.65955716610136;1.95676061820777e-18;NA;1.95676061820777e-18
SRR12661202;5.82878937619793;0.0268319861436725;7.79073247204096;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12661208;11.1447441299602;8.77297935802754;2.44952885362794;1.97795580444976e-18;1.97795580444976e-18;NA
SRR12661209;11.0198123692457;48.1443531293855;0.33621410320236;NA;7.77373981688446e-24;NA
SRR12661214;3.08103332880515;2.06175217230624;7.73413147463142;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763277;12.9891310102609;4.92581650102887;3.12354388860676;1.76401081124363e-18;4.86786183895594e-15;NA
SRR12763292;0.850989867737919;1.80239451390327;3.04165397698642;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763293;5.5699819916076;1.48485496748645;9.76256612949942;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12763310;16.8950887608862;8.64131009254397;10.8669352929236;1.97795580444976e-18;2.03865265468106e-18;1.97795580444976e-18
SRR12763313;10.1246766395711;1.70972989430255;4.45301593337531;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12763319;4.31483452005961;1.65554993951449;1.25380781603553;1.9778442703231e-18;7.56936868125503e-18;0.999999999999328
SRR12763323;9.37296090068494;0;1.90159348954261;7.77373981688446e-24;NA;NA
SRR12763329;4.47902350896478;6.52100733097035;6.8944567950396;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763336;7.94424827233081;6.6001991313164;8.70442843760099;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763339;1.18366152658859;0.40525589681283;3.84636895024913;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763343;13.4669057067177;8.60595429748289;13.5308488129553;1.97795580444976e-18;0.261419314022744;1.97795580444976e-18
SRR12763434;18.7023241758783;27.7824354720234;17.7755202810601;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763487;3.18156593551487;1.47924726448224;2.25665278919408;1.97728668910923e-18;4.57468062024987e-18;1.97728668910923e-18
SRR12763497;24.9339413993119;14.6007679066823;5.69653691712659;1.97795580444976e-18;1.97795580444976e-18;NA
SRR12763531;1.67475332264837;3.25688720469491;5.62431779762454;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763539;10.3417688749652;6.56270283281166;6.14292953254279;1.97795580444976e-18;2.03865265468106e-18;2.16549357175258e-18
SRR12763546;4.63976459237758;0;6.96971836040273;1.9778442703231e-18;NA;1.9778442703231e-18
SRR12763556;0;4.27224891131255;6.6529510564923;NA;1.97717519074822e-18;1.97717519074822e-18
SRR12763559;4.02105559283832;3.40879147767454;4.14848301616932;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763576;18.7033358215245;11.2666579739423;7.13549482856275;1.97795580444976e-18;1.97795580444976e-18;NA
SRR12763580;10.6066431947831;4.97844520737869;4.01497867626207;1.9778442703231e-18;1.9778442703231e-18;0.999999998749998
SRR12763597;1.79108708772949;7.97177555033407;8.25984514379662;NA;1.9778442703231e-18;1.9778442703231e-18
SRR12763609;13.8227841268465;17.9689278694296;8.98388465176202;1.97795580444976e-18;1.97795580444976e-18;1.27667124740568e-12
SRR12763619;10.1699207088071;1.83858485231368;0;7.77373981688446e-24;NA;NA
SRR12763621;8.45120496541627;9.74241090815492;1.23807836453061;1.97795580444976e-18;1.97795580444976e-18;NA
SRR12763627;2.00841648028703;1.57674559158651;2.58473099091362;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763629;4.95423307342697;9.80293910076926;4.8136278349925;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763649;13.0721205253691;4.56961686008715;8.11607862381657;1.97795580444976e-18;1;1.97795580444976e-18
SRR12763650;0.0130464298462566;0.234237472692815;6.83821782056048;1;1;1.97795580444976e-18
SRR12763658;7.15937082958117;4.80800750721804;11.4605115463916;1.97795580444976e-18;9.18261497510505e-15;1.97795580444976e-18
SRR12833514;9.98173546840865;8.14331160742284;12.6130113516986;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833520;3.15503293794386;1.5912645559262;2.77689315658579;1.97795580444976e-18;0.990127244432432;1.97795580444976e-18
SRR12833521;8.60804537060035;3.44453472515369;4.62546431357711;1.97795580444976e-18;0.999819158113875;1.97795580444976e-18
SRR12833522;0;25.1063436304598;5.81222742733355;NA;1.97572625429551e-18;3.10527363049107e-18
SRR12833523;11.3496667937238;13.2661038047732;13.4741081508803;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833526;7.51380485256337;3.09296299055868;1.59391251136536;1.968607691647e-18;5.80205533281501e-18;NA
SRR12833539;5.82372065922692;0.56386548859224;2.46319113485736;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833556;3.53655131940657;0.0616919886345089;2.74242798270687;1.97795580444976e-18;1;1.97795580444976e-18
SRR12833568;3.12006139531291;1.88648311274347;3.69973469926113;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833571;1.1572776521671;0;6.17210375381708;0.990127244432432;NA;1.01832203301586e-20
SRR12833575;23.123355027077;35.2269407620742;11.0097727689005;1.97795580444976e-18;1.97795580444976e-18;NA
SRR12833607;0;1.79966798841848;3.98424813970379;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12833628;4.31568732423494;1.55701799694075;5.96297136284482;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12833632;4.76759166486809;5.14236942151491;8.04538396252125;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833634;9.62827896937683;10.6431349861257;4.71255350086678;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833642;9.33035402696188;0;1.76056769069106;7.77373981688446e-24;NA;NA
SRR12833646;10.3243644779763;6.60453704624971;8.05947762640703;1.97795580444976e-18;1.04704660410365e-16;1.97795580444976e-18
SRR12833648;1.16031113859118;0;5.64121588027155;1.9775097037121e-18;NA;1.9775097037121e-18
SRR12833654;21.2994796243758;9.8191722136439;5.20177330822971;1.97795580444976e-18;2.03865265468106e-18;NA
SRR12833676;4.00770771972624;3.57057518836709;2.9534758773386;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833693;19.4689645643219;13.4822187500704;5.43109804680071;1.97795580444976e-18;1.97795580444976e-18;NA
SRR12833706;8.65758886820315;4.11892081669619;3.94583631215937;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833708;11.0521194017071;8.50081375598149;9.45543048509481;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833709;4.1870788602567;2.23705395141502;5.45261796710846;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833710;1.52805040615906;3.86573918523983;5.23160359399628;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833718;16.4334270701385;16.3424738283961;0;1.97795580444976e-18;1.97795580444976e-18;NA
SRR12833721;7.04587958571996;0.122383081345562;4.20618743104933;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12833731;0.840339101764499;1.48411134343038;7.42067215180065;NA;5.95907946448861e-12;1.40724494401606e-18
SRR12833738;8.99055525085107;1.63195916184404;0.746697359724563;7.77373981688446e-24;NA;NA
