S1_exposure;S2_exposure;S3_exposure;S1_pvalue;S2_pvalue;S3_pvalue
SRR12763649;3.01069164892288;8.11035857994631;13.6250289741526;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12763650;0.216176441629279;6.78950906410539;0.0799794671096426;1;1.97795580444976e-18;1
SRR12763658;3.51387432396248;11.7111907120586;6.14365692175555;2.37029794762506e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833514;5.91304298715114;12.7797140390486;11.0733088492164;3.10527363049107e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833520;1.09213867630441;2.75903524438185;3.68256281961035;1;1.97795580444976e-18;1.97795580444976e-18
SRR12833521;1.10683498723335;4.78215886231693;8.6438569238138;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12833522;18.2105986549913;6.776298209885;4.91066835520744;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833523;8.58841868383472;14.0440112423746;12.3807297078748;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833526;0.890580921714983;1.9297825757982;6.17649389741359;NA;5.95866238530739e-12;1.40708341670248e-18
SRR12833539;0.268568254246687;2.32660699817635;6.3146232787483;1;1.97795580444976e-18;1.97795580444976e-18
SRR12833556;0;2.64170547747391;3.7789265294147;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12833568;1.36010620239815;3.66507453026575;3.71126922137636;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833571;0;6.11653456750579;1.23004833690267;NA;3.82658350341412e-21;0.999819158113875
SRR12833575;21.2961104343075;12.5314456047162;28.2735725426252;1.97795580444976e-18;1;1.97795580444976e-18
SRR12833607;1.54007393763629;4.06320084674258;0.0126866664254901;1.97795580444976e-18;1.97795580444976e-18;1
SRR12833628;0;5.98609421796092;4.91704723032576;NA;1.9775097037121e-18;1.9775097037121e-18
SRR12833632;3.69893610778986;7.54078260772601;6.15446920341649;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833634;6.7053900147109;5.26558214085205;9.9872892735058;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833642;0;1.68403112398422;8.65817078964519;NA;NA;7.77373981688446e-24
SRR12833646;4.72833293381126;8.17458087589214;11.1192536723126;1.4661581069113e-10;1.97795580444976e-18;1.97795580444976e-18
SRR12833648;0;5.58465295447118;1.2353869635436;NA;1.97728668910923e-18;1.97728668910923e-18
SRR12833654;6.85023997449779;5.53195731555293;20.9569624117485;2.03865265468106e-18;NA;1.97795580444976e-18
SRR12833676;2.61706379440749;2.97196560419475;5.01142149797684;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833693;8.52282528921143;5.96218095959686;19.8262615559797;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12833706;1.74590034159997;4.26457086870321;7.6095315944595;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833708;6.27643144051618;9.95636626050684;9.77113203181065;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833709;1.61893687396615;5.42381894929325;4.89057133311062;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833710;2.97873491043299;5.30234304225984;2.4131780731542;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833718;11.9196106217983;0;20.887034825547;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12833721;0;4.03720026681219;7.51094980357321;NA;1.97795580444976e-18;1.97795580444976e-18
